School Name,Address,Telephone,long,lat
Missions Helping Hands Academy,"1752 Bising Avenue #5, Cincinnati, OH 45239",(513) 289-1149,-84.5517642,39.2209817
Mogadore Christian Academy,"3603 Carper Avenue, Akron, OH 44312",(330) 628-8482,-81.39617919999999,41.0388552
Montford Academy,"101 West Montford Avenue, Ada, OH 45810",(614) 560-1845,-83.82358130000001,40.77328
Moore Manor Academy,"507 S. Warner St., Forest, OH 45843",(419) 273-2915,-83.5095609,40.7967663
Mother of Divine Grace,"11012 Riverwood Drive, Grafton, OH 44044",(440) 458-6197,-82.08846969999999,41.3175391
Mount Pleasant School,"6660 Martinsburg Road, Mount Vernon, OH 43050",(740) 397-3139,-82.4133751,40.3281392
Mt. Hope Christian Academy,"9200 Strimple Road, Harrison, OH 45030",(513) 367-0450,-84.7211483,39.2470077
New Franklin Christian Academy,"16310 Lisbon Street SE, Minerva, OH 44657",(330) 862-2491,-81.0948239,40.7978365
New Hope Christian Academy,"40180 Parsons Road, Lagrange, OH 44050",(440) 478-2646,-82.1038887,41.2759627
New Life Christian Academy,"4080 Call Road, Perry, OH 44081",(440) 259-3850,-81.1298204,41.7613945
New Life School of Excellence,"14376 East Broad Street, Reynoldsburg, OH 43068",(614) 596-6508,-82.7564891,39.9908891
North Star Academy,"2303 Armstrong Drive, Sidney, OH 45365",(614) 506-3293,-84.15196379999999,40.3114451
Northside Christian School,"2655 Schrock Road, Westerville, OH 43081",(614) 882-1493,-82.9459546,40.1084206
Northstar Classical School,"103 McKnight Dr, Middletown, OH 45044",(513) 318-8823,-84.3756573,39.5097975
Northumbria Community Christian School,"P.O. Box 808, Gambier, OH 43022",(419) 788-0390,-82.397183,40.3759296
Nova Academy,"844 S. Broadleigh Road, Columbus, OH 43209",(614) 636-5365,-82.9227026,39.9531525
Oak Bend Academy,"3308 Oak Bend Blvd., Canal Winchester, OH 43110",(419) 651-5501,-82.818722,39.9148753
Oak Grove Christian School,"535 BF Goodrich Rd, Marietta, OH 45470",(740) 336-5041,-81.46649769999999,39.4480098
Ohio Christian Academy,"4419 Nelson Rd, Middletown, OH 45042",(513) 594-4334,-84.34837449999999,39.5291339
Ohio Wilderness Boys Camp Outdoor Experiential School,"44642 Zerger Quarry Road, Summerfield, OH 43788",(740) 838-4908,-81.3204402,39.746633
Oliver Wolcott Academy,"558 W Front St, Perrysburg, OH 43551",(419) 873-0339,-83.6410174,41.5559942
Operation Rebirth Inc.,"1638 Apple Road, St Paris, OH 43072",(937) 663-5765,-83.97190499999999,40.15055
Ora et Labora Academy,"539 Woodview Dr., Chillicothe, OH 45601",(740) 775-6205,-83.0179682,39.4378024
Ottawa County Christian Academy,"P.O. Box 69, Oak Harbor, OH 43449",(419) 898-3888,-83.1465875,41.5067173
Our Lady of Fatima Academy,"10736 Lagrange Road, Elyria, OH 44035",(440) 458-6240,-82.1187834,41.33312
Our Lady of Guadalupe Academy,"15412 Lydian Ave, Cleveland, OH 44111",(216) 671-4479,-81.805377,41.4563211
Our Lady of Light Academy,"4529 Secretariat Court, Avon, OH 44011",(440) 476-5672,-82.0544618,41.4228448
Our Lady Seat of Wisdom Academy,"5259 Rocky Rill Ave NE, Canton, OH 44705",(330) 357-2302,-81.33815810000002,40.8567099
Out of the Box Behavioral Solutional,"1011 Gorge Blvd, Akron, OH 44310",(330) 375-1660,-81.4985504,41.1052468
Padre Pio Academy,"12920 Madison Ave, Lakewood, OH 44107",(216) 571-0174,-81.7785739,41.4772146
Park Avenue Academy,"8217 Park Ave, Garretsville, OH 44231",(405) 458-9366,-81.09402639999999,41.2849034
Parkview Academy,"1913 Pilgrim St, Akron, OH 44305",(330) 730-7514,-81.4543954,41.0708162
Pathlighters Academy,"1960 Coltman Rd UPPR, Cleveland, OH 44106",(440) 941-3136,-81.5986894,41.5098352
Pax Christi School,"3245 Nagle Road, Avon, OH 44011",(440) 937-0069,-81.9888684,41.4431388
Phroneos Academy,"2740 Slabtown Road, Lima, OH 45801",(419) 967-6479,-84.0509182,40.7779719
Pilgrim Christian School,"2100 W. Breese Road, Lima, OH 45806",(419) 224-4333,-84.1437404,40.6882046
Pineview Christian Academy,"10395 Scott Road, Sidney, OH 45365",(937) 498-9294,-84.1914372,40.3515005
Pinson Palace,"106 8th Street NW, Barberton, OH 44203",(614) 733-9466,-81.61508889999999,41.01347150000001
Piqua Christian School,"P.O. Box 739, Piqua, OH 45356",(937) 773-8627,-84.24244490000001,40.1447732
Pope Pius Academy,"703 Parkview Court, Huron, OH 44839",(419) 616-3191,-82.5702724,41.3926536
Prasse Rd Academy,"4425 Prasse Rd, South Euclid, OH 44121",(216) 291-9449,-81.5207051,41.5239763
Primary Principle Lyceum,"38 Ledgewood Drive, Chillicothe, OH 45601",(740) 851-4998,-83.01941599999999,39.3226799
Proverbs Christian Academy,"5741 Cady Road, North Royalton, OH 44133",(440) 773-7667,-81.72692649999999,41.2850787
Providence Academy,"114 N. Main Street, North Fairfield, OH 44855",(419) 681-3634,-82.6114095,41.1070491
Providence Christian Academy,"5884 Shawnee Avenue, Walbridge, OH 43465",(419) 838-7361,-83.5093735,41.5559777
Puritan Reformed Christian Academy,"37879 Elva Lane, North Ridgeville, OH 44039",(440) 822-7000,-82.04882239999999,41.35926500000001
Rabbinical Yeshiva of Cincinnati,"2395 Twigwood Lane, Cincinnati, OH 45237",(513) 795-1400,-84.44298909999999,39.205262
Rardin Ranch,"8259 Keys Rd, Mount Vernon, OH 43050",(740) 398-8621,-82.56036449999999,40.3597049
Redeemer Christian Academy,"205 Blaine Street, Hamler, OH 43524",(419) 274-0022,-84.034565,41.2261706
Redwine Academy,"2031 Dallas Avenue, North College Hill, OH 45239",(513) 484-2617,-84.56323499999999,39.2152013
Reichelshelm Academy,"7680 Gerald Drive, Middleburg Heights, OH 44130",(412) 297-6173,-81.7906419,41.3547446
Revolution Christian School,"1572 State Route 380, Wilmington, OH 45177",(937) 823-2710,-83.9405702,39.4560142
Richland Christian Academy,"6507 State Route 273, Belle Center, OH 43310",(937) 935-6558,-83.810982,40.5096663
River of Light Academy,"13807 W. Lake Road, Vermilion, OH 44089",(440) 967-2022,-82.3845541,41.417766
Roberts STEM Academy,"13963 Sargents Road, Sidney, OH 45365",(937) 416-5203,-84.01959269999999,40.2164555
Rolling Hills Academy,"114 Mallard Creek Run, Lagrange, OH 44050",(440) 213-2289,-82.1307097,41.2965604
Rolling Hills Christian School,"19963 State Route 698, Jenera, OH 45841",(419) 326-9304,-83.727054,40.9033591
Rose City Academy,"2850 Kenview Ave, Dayton, OH 45420",(937) 503-7220,-84.14978359999999,39.7264643
Royal Little Lambs Academy,"161 Deer Trail Drive, Springboro, OH 45066",(801) 750-9141,-84.2371205,39.5751391
Royal Oak Christian,"886 Country Club Dr, Cincinnati, OH 45245",(513) 753-3911,-84.27649650000001,39.0487172
RW Faith Academy,"4251 Custar Road, Deshler, OH 43516",(419) 278-8408,-83.8439022,41.2157695
Sacred Heart Academy,"4818 Washington Good Hope Rd, Washington Court House, OH 43160",(740) 606-5833,-83.34549299999999,39.44817099999999
Sacred Heart of Jesus Academy,"1552 Oak Tree, Brunswick, OH 44212",(330) 225-4654,-81.8274101,41.2331947
Sacred Heart of Jesus Catholic School,"2065 Beaumont Avenue N.W., Massillon, OH 44647",(330) 837-8002,-81.5563647,40.8143942
Salem Wesleyan Academy,"1095 New Garden Avenue, Salem, OH 44460",(330) 332-4819,-80.8621289,40.8954536
Salt and Light Christian Academy,"17875 County Road 8, Arlington, OH 45814",(513) 349-3272,-83.5944063,40.908177
Satterbury School for Exceptional Children,"2296 Satterbury Court, Dublin, OH 43016",(614) 439-8004,-83.0775171,40.1245474
School of Angels,"4170 Forest Ave, Norwood, OH 45212",(513) 554-1077,-84.4513352,39.1540368
School of Wisdom and Knowledge,"15212 State Route 698, Rawson, OH 45881",(419) 326-1157,-83.72815279999999,40.9476835
Scientia Classical Academy,"1005 Virginia Street, Martins Ferry, OH 43935",(740) 359-7081,-80.7357549,40.09021540000001
Sellers Academy,"94 South Norwalk Road W, Norwalk, OH 44857",(330) 473-3458,-82.5936526,41.222016
Serenity Hill Academy,"31981 Salem Alliance Rd, Salem, OH 44460",(330) 970-6673,-80.8954229,40.900484
Shadeville Christian Academy,"4800 Lockbourne Road, Columbus, OH 43207",(614) 491-6592,-82.9694358,39.8623923
Shekinah Christian Academy,"P.O. Box 276, Bristolville, OH 44402",(330) 889-2912,-80.86912730000002,41.3873741
Shekinah Christian School,"10040 Lafayette-Plain City Road, Plain City, OH 43064",(614) 873-3130,-83.3120445,40.0881637
Shireland Academy,"2868 Lenox New Lyme Road, Jefferson, OH 44047",(216) 406-4140,-80.7606826,41.6729503
SKILL Academy,"1075 Lawrence Rd, Harrod, OH 45850",(419) 230-4595,-83.89837759999999,40.7268958
Skyward Academy,"9994 Zig Zag Rd, Cincinnati, OH 45242",(513) 222-4611,-84.3627144,39.2413595
Skyward New Hope,"P.O. Box 498334, Cincinnati, OH 45249",(513) 600-8476,-84.3279093,39.2708955
Smith's Education Classroom,"935 Compton Lane, Youngstown, OH 44502",(330) 519-3102,-80.6359976,41.0750111
Solid Oak Christian School,"11178 Township Rd 201, Findlay, OH 45840",(314) 378-8716,-83.66044079999999,40.90643499999999
Sonlight Christian Academy,"321 Audubon Street, Pickerington, OH 43147",(614) 833-6647,-82.7889974,39.8675146
South Ridge Christian Academy,"P.O. Box Drawer 770, Conneaut, OH 44030",(440) 593-4657,-80.5542409,41.9475551
Southmorse Christian Academy,"11883 Saddlebrook Drive NW, Baltimore, OH 43015",(740) 400-4433,-82.5906962,39.8993111
Spark Ling Academy,"789 Ormsby Drive, Xenia, OH 45385",(937) 352-1480,-83.92738519999999,39.6747821
Spirit River Christian School,"7312 Wengert Road, Blacklick, OH 43004",(614) 868-0953,-82.80313699999999,40.003335
Spiritus Sanctus,"9584 Winchester Valley, Chesterland, OH 44026",(216) 398-5940,-81.30020309999999,41.5089579
Spring Valley Christian School,"4676 W 11th St, Cleveland, OH 44109",(216) 661-6384,-81.6879457,41.4291336
St Lawrence Academy,"17801 Ridge Rd, North Royalton, OH 44133",(865) 385-1904,-81.7435337,41.2910851
St Mary Mother of Christ School,"7625 Appleblossom Lane, Chesterland, OH 44026",(440) 729-9448,-81.3687491,41.545885
St. Anthony of Padua Academy,"4614 Persimmon Lane, Brunswick, OH 44212",(330) 460-3472,-81.8522535,41.2523882
St. Basil Academy,"1498 Oak Tree Drive, Brunswick, OH 44212",(440) 799-2488,-81.8274101,41.2346375
St. Bellarmine Academy,"223 Sunflower Drive, Brunswick, OH 44212",(330) 225-8081,-81.8259159,41.2696137
St. Cecilia School for Girls,"8584 Wiese Road, Brecksville, OH 44141",(216) 952-4643,-81.6069533,41.3287684
St. Elizabeth Ann Seton,"409 Murray Avenue, Minerva, OH 44657",(330) 495-2678,-81.0995011,40.7244292
St. Gerard Majella School,"6415 Mandalay Drive, Parma Heights, OH 44130",(440) 885-4162,-81.7746839,41.3895476
St. Gertrude the Great School,"4890 Rialto Road, West Chester, OH 45069",(513) 645-4216,-84.46361399999999,39.3241462
St. John the Evangelist Center for Learning,"2668 Killian Road, Uniontown, OH 44685",(906) 280-3680,-81.42819879999999,40.9943749
St. Joseph Preparatory School,"9152 Jug St. Rd, Alexandria, OH 43001",(614) 216-8078,-82.6636821,40.0966564
St. Martin of Tours Academy,"7068 L'Anna Drive, Orville, OH 44667",(740) 565-0246,-81.7661622,40.8861246
St. Nicholas Academy,"4274 Timberidge Ave, NW, Massillon, OH 44646",(330) 268-9884,-81.5188831,40.8433329
St. Peregrine Academy,"3086 W. Streetsboro Road, Richfield, OH 44286",(330) 659-6242,-81.6018361,41.2430889
St. Peter Faber Academy,"18236 Goudy Rd, Dalton, OH 44230",(330) 734-5623,-81.66394679999999,40.76476479999999
St. Theresa Academy,"1348 Granger Avenue, Lakewood, OH 44107",(216) 937-5895,-81.8171629,41.4868674
St. Therese of the Little Flower School,"6359 Daleview Road, Cincinnati, OH 45247",(513) 923-4244,-84.6553301,39.2120488
Sterling Education,"115 Lincoln Ave, Berea, OH 44017",(440) 260-7514,-81.8566275,41.3781794
Stonewall Academy,"6118 E. New Market Road, Hillsboro, OH 45133",(937) 402-4066,-83.6590093,39.133289
Streamview Academy,"2468 Columbia Road, Brecksville, OH 44141",(330) 659-0740,-81.5951552,41.2701078
"Strong Academy, The","22480 Hawley Road, Wellington, OH 44090",(440) 281-6961,-82.194198,41.162656
Strong Tower Christian Academy,"34925 Clear Creek Drive, North Ridgeville, OH 44039",(440) 353-0757,-82.0052671,41.3699762
Sts. Noel and Edmund Academy,"4625 Broadale Road, Cleveland, OH 44109",(216) 246-3663,-81.69113449999999,41.4303499
Sugar Creek Christian Academy,"4824 State Route 141, Ironton, OH 45638",(740) 533-2215,-82.6152413,38.5484384
Sunnybrook Cottage Academy,"119 Beebe Ave, Elyria, OH 44035",(440) 366-5804,-82.08129079999999,41.37691969999999
Sycamore Grove Academy,"6419 Sharon Woods Blvd, Columbus, OH 43229",(614) 352-1221,-82.9625267,40.0998513
Tabor Christian School,"6727 Tabor Ridge Road, Stockport, OH 43787",(740) 557-3169,-81.8173338,39.4981233
Taflan Christian Academy,"59010 Palmer Street, Byesville, OH 43723",(740) 338-9272,-81.5507512,39.9702099
Tallmadge Kiddie Kollege/F.A.C.T. Academy,"199 South Avenue, Tallmadge, OH 44278",(330) 633-9049,-81.4390054,41.095275
TCA Trotwood-Liberty Christian High School,"P.O. Box 3812, Dayton, OH 45401",(937) 732-8464,-84.1787904,39.7587998
Temple Christian Academy,"1150 South County Road 198, Freemont, OH 43420",(419) 332-7623,-83.07046969999999,41.3309997
Temple Christian School,"752 North Stewart Road, Mansfield, OH 44905",(419) 589-9707,-82.47432599999999,40.778223
The Bishop James Chapman Academy for Learning,"4781 Hamilton Ave, Cincinnati, OH 45223",(513) 559-5760,-84.5462642,39.1795566
The Bounty Collegium,"6711 Monroe St., Suite 2A, Sylvania, OH 43560",(419) 410-4930,-83.7053418,41.7143361
The Fourth Day Institute for Autodidaction,"1621 Merl Ave, Cleveland, OH 44109",(216) 398-5385,-81.6913912,41.42469639999999
The Fruits of the Spirit Academy,"10945 Coal Bank Road, Marietta, OH",(330) 957-3306,-81.45484359999999,39.41535200000001
The James Academy,"4965 Stoney Creek Dr, North Canton, OH 44720",(330) 563-4037,-81.4853503,40.9297081
The King's Kids Christian School,"115 E Sugar Street, Mount Vernon, OH 43050",(606) 219-9487,-82.4824885,40.3955872
The Master's Plan Academy,"24500 Eagle Pointe Court, Columbia Station, OH 44028",(440) 236-9672,-81.9011685,41.3236577
The Smith School,"6940 Palmetto Street, Cincinnati, OH 45227",(877) 718-2731,-84.37533560000001,39.1513289
The Vegan Academy,"23714 Woodway Road, Beachwood, OH 44122",(216) 338-8083,-81.5112517,41.495994
The Watson Learning School,"582 Laruel Dr SW, Etna, OH 43062",(614) 403-7444,-82.6378146,39.9645954
Theosis Classical Christian Academy,"185 Groveport Pike, Unit 15C, Canal Winchester, OH 43110",(614) 359-8706,-82.8107383,39.8426782
Thessaloniansa Academy,"435 Delaware Ave, Dayton, OH 45405",(937) 268-6868,-84.2143964,39.7772857
Three Rivers Preparatory School,"2581 E. Hanthorn Rd, Lima, OH 45804",(419) 302-0410,-84.0580589,40.7025447
Tipp City Christian School,"445 W. Evanston Road, Tipp City, OH 45371",(937) 667-9167,-84.2080058,39.9450475
Torah Beis Academy,"3659 S. Green Road 100, Beachwood, OH 44122",(216) 373-3456,-81.5161822,41.4604822
Torah Kadosh Academy,"824 Wintermute Avenue, Newark, OH 43055",(614) 558-1299,-82.4386499,40.0465983
Totus Tuus Academy,"3803 Royal Rock Road, Copley, OH 44321",(330) 664-4800,-81.65277909999999,41.1164836
Treasures of Grace Academy,"5849 Forestview Dr, Columbus, OH 43213",(614) 236-4366,-82.8449411,39.9750694
Triple A Academy,"440 Market St, Yorkville, OH 43971",(740) 859-0025,-80.7087288,40.1546504
Truth Christian Academy,"7601 Ohio River Road, Wheelersburg, OH 45694",(740) 574-8440,-82.861572,38.7364625
Truth Christian School,"P.O. Box 627, Hamden, OH 45634",(740) 384-5227,-82.52682589999999,39.1597938
Turner Learning Center,"3185 Winterset Dr, Beavercreek, OH 45440",(937) 426-3611,-84.05461179999999,39.6892945
Twenty Honey Academy,"20 Honey Court, Westerville, OH 43081",(614) 753-3204,-82.9400935,40.1261204
Universal Muslim Academy,"2232 Stratford Ave, Suite 200, Cincinnati, OH 45219",(513) 421-0700,-84.52280329999999,39.1240041
Valor Academy,"124 C. Cleveland Road, Norwalk, OH 44857",(419) 660-0533,-82.5965173,41.2465467
Venite Adoremus Academy,"244 Cedar Hill Drive, Waverly, OH 45690",(906) 241-7096,-82.98304189999999,39.15109530000001
Veritas Academy,"7541 Dublin Road, Dublin, OH 43017",(614) 726-9988,-83.1205827,40.12076709999999
Veritas Classical Academy,"P.O. Box 982, Marietta, OH 45750",(740) 885-2033,-81.45484359999999,39.41535200000001
Veritas et Erudition Academy,"9455 Airline Drive, Macedonia, OH 44056",(440) 658-3365,-81.50477719999999,41.3174524
Veritas et Libertas Classical Academy,"38 George St, Pataskala, OH 43062",(614) 353-8885,-82.6743553,39.9923662
Vermilion Private High School,"5735 South St, Vermilion, OH 44089",(440) 332-0077,-82.3684548,41.4184085
Vissing Institute for Higher Learning,"18325 State Route 141, Willow Wood, OH 45696",(740) 573-6015,-82.4582453,38.6443042
Water's Edge Academy,"2825 Shakespear Lane, Avon, OH 44011",(216) 210-5200,-82.0073778,41.4509379
Waynesville Christian School,"1009 Lytle Road, Waynesville, OH 45068",(513) 897-0418,-84.0920266,39.539796
Wayside Christian School,"2345 Kerstetter Road, Bucyrus, OH 44820",(419) 562-5930,-83.00315189999999,40.7960104
Weston Academy,"6193 Massillon Rd SW, Navarre, OH 43215",(814) 602-6691,-81.66829050000001,40.724072
Westwood Christian School,"3035 Irvella Place, Cincinnati, OH 45238",(513) 429-4261,-84.6029251,39.1370008
Whetstone Baptist Academy,"994 Poe Road, Bucyrus, OH 44820",(419) 985-2752,-82.9154039,40.7442232
Willow Brook Christian Academy,"1137 McNeil Drive, Blacklick, OH 43004",(614) 383-9405,-82.7997773,40.0092507
Willow Farms Christian Academy,"2125 State Route 48, Ludlow Falls, OH 45339",(937) 698-5125,-84.3382235,40.0065606
Winton Place Baptist Church and Academy,"4600 N Edgewood Ave, Cincinnati, OH 45232",(513) 681-3470,-84.51598690000002,39.1723314
Woodland Academy,"2569 Reeder Road, Blanchester, OH 45107",(513) 722-5769,-83.9081242,39.3388796
"Woods Academy, The","P.O. Box 1960, Elyria, OH 44036-1960",(216) 744-7033,-82.0962669,41.3707754
Worldview Preparatory Academy,"2240 Prysi Rd NW, Sugarcreek, OH 44681",(330) 340-7050,-81.5870175,40.5168009
Yahweh Academy,"1120 Hillsdale Ave, Parma, OH 44134",(440) 305-4160,-81.6870663,41.4018157
Yates Academy,"1535 Oakland Parkway, Lima, OH 45805",(317) 431-6037,-84.1347943,40.7424232
Yellow Creek Christian Academy,"23203 Hammansburg Rd, Deshler, OH 43516",(419) 966-9939,-83.8463694,41.2260466
Yellow Picket Primary,"10741 TR 81, Findlay, OH 45840",(419) 422-9161,-83.6746245,40.9991146
Yeshiva High School of Cleveland,"25400 Fairmount Blvd, Beachwood, OH 44122",(216) 338-4086,-81.4995457,41.4857771
Young's Country School,"4511 Redd Road, Delphos, OH 45833",(567) 204-5952,-84.2627569,40.8021737
Z Academy,"160 Ruby Red Lane, Delaware, OH 43015",(330) 607-5831,-83.04635309999999,40.2425783
Zanesville Christian School,"2400 Changlersville Road, Zanesville, OH 43701",(740) 454-2509,-81.971527,39.9268077
3rd Culture International School,"17951 Strongsville Boulevard, Strongsville, OH 44149",(440) 879-7234,-81.82583919999999,41.3464863
Advanced Christian Education,"12623 Waynesfield Rd, Wapakoneta, OH 45895",(419) 568-9100,-83.9758524,40.5375416
Athena Academy,"415 Whitman Blvd., Elyria, OH 44035",(440) 714-7774,-82.083503,41.3951622
Ave Maria Homeschool,"9358 Paulding St. NW, Massillon, OH 44646",(330) 737-3250,-81.5232559,40.9017053
B.L.E.S.S. School,"6562 Miller Drive, North Ridgeville, OH 44039",(440) 781-0580,-81.9897204,41.3904827
Bethlogos Academy,"13751 Congress Road, West Salem, OH 44287",(330) 241-1278,-82.09383609999999,40.9690848
Brittany Christian Academy,"1121 Brittany Blvd, Akron, OH 44312",(234) 738-1332,-81.41328170000001,41.0215664
Christian Heritage Academy,"118 Deerwalk Circle, Marietta, OH 45750",(740) 350-2234,-81.4591236,39.4727935
Clarion Christian Academy,"27161 Schady Rd, Olmsted Falls, OH 44138",(440) 591-1935,-81.94840959999999,41.3614682
Clearview Christian School,"9629 Enderby Dr, Parma, OH 44130",(440) 482-3800,-81.75244289999999,41.4064948
Cobblestone Christian Academy,"6622 Cobblefield Drive, Medina, OH 44256",(330) 730-6357,-81.8510158,41.0931848
"Cornerstone School, The","254 Virginia Circle, Wilmington, OH 45177",(937) 382-5331,-83.8210948,39.4513338
Corpus Christi Academy,"23804 Ambour Drive, North Olmsted, OH 44070",(440) 716-9270,-81.884923,41.442993
Covenant Academy,"1145 Wittmer Road, Mansfield, OH 44903",(419) 631-7321,-82.6246661,40.7274823
Deuteronomy 6 Christian School,"507 N. Main Street, Bluffton, OH 45817",(419) 957-0291,-83.8873668,40.896982
Dunham Academy,"2749 Eris Rd, Urbana, OH 43078",(937) 652-3434,-83.85186,40.1570882
Eagle Rock Academy,"15313 Hall Rd, Mount Vernon, OH 43050",(740) 272-2170,-82.5865148,40.2698394
Eastern Road Christian Academy,"2600 Eastern Road, Rittman, OH 44270",(330) 925-5437,-81.7827178,40.9873547
Eleutheria Academy,"1036 Arcaro Drive, Gahanna, OH 43230",(330) 461-3334,-82.855775,40.044917
Fairfield Christian School,"2470 Princeton Road, Hamilton, OH 45013",(513) 737-0841,-84.526684,39.3920138
Faith Christian Academy,"511 West Main St, Wilmot, OH 44689",(330) 359-6215,-81.6345463,40.657534
Friends in Christ Bible Fellowship,"5807 Adams Ave, Ashtabula, OH 44004",(440) 862-6039,-80.79021259999999,41.8549073
FTD High School,"20501 Indian Hollow Rd, Wellington, OH 44090",(440) 309-5200,-82.1077482,41.1840498
Garrison Global Academy,"7752 Montgomery Road, Suite 53, Cincinnati, OH 45236",(513) 526-1293,-84.38445970000001,39.1953293
Gateway Christian Academy,"661 East Exchange Street, Akron, OH 44306",(330) 253-9443,-81.49971169999999,41.07146520000001
Gospel Baptist School,"6235 Clingan Road, Poland, OH 44514",(330) 757-0736,-80.5907531,41.0275158
Grand Lake Christian School,"1001 Holly Street, Suite A, St Marys, OH 45885",(419) 300-9001,-84.406802,40.5495561
Heritage Classical Academy,"190 W. Streetsborg Street, Hudson, OH 44236",(330) 998-0554,-81.4504295,41.2393893
HGP Academy,"319 Cowan Creek Road, Clarksville, OH 45113",(937) 728-7375,-83.9554276,39.410343
Hover Agape Academy,"4212 Sequoia Avenue, Grove City, OH 43123",(614) 593-2407,-83.11444379999999,39.8906711
Identity and Destiny Academy,"10870 Hamilton Ave, Cincinnati, OH 45231",(513) 742-3569,-84.5616093,39.2751587
James Chapman Academy For Learning,"4731 Hamilton Ave, Cincinnati, OH 45223",(513) 542-4500,-84.5450686,39.1778282
Judah's Pride Academy,"8635 Tarlton Road, Circleville, OH 43113",(740) 474-6310,-82.8693833,39.56261569999999
Karma Academy of Learning,"49721 High Street Extension, St Clairsville, OH 43950",(740) 359-2636,-80.892984,40.070845
Kenyon Road Christian Academy,"11919 Kenyon Road, Mount Vernon, OH 43050",(614) 623-2358,-82.4152383,40.4056017
Life Classical Christian School,"222 High Street , #308, Hamilton, OH 45011",(513) 630-0617,-84.56107709999999,39.400115
McKenzie Academy,"3712 S. Beechgrove Road, Wilmington, OH 45177",(937) 382-1337,-83.8783828,39.42711329999999
Mentor Christian School,"8600 Lake Shore Blvd., Mentor, OH 44060",(440) 257-3172,-81.3299712,41.7171724
Most Holy Family Academy,"329 E. Cedar Street, Mount Gilead, OH 43338",(740) 341-9480,-82.82025840000001,40.551234
Nazareth School,"24607 Wolf Rd, Bay Village, OH 44140",(440) 250-0656,-81.8930645,41.4810948
New Covenant Christian Academy,"7177 Alma Terrace, New Albany, OH 43054",(614) 562-6586,-82.823773,40.1104028
New Hope Academy,"6668 Blossomgreen Way, Canal Winchester, OH 43110",(208) 880-2352,-82.81748019999999,39.8995175
New Horizons Academy,"PO Box 150, Wauseon, OH 43567",(419) 335-7272,-84.14161469999999,41.5492182
Northfield Baptist Christian School,"311 W. Aurora Road, Northfield, OH 44067",(330) 467-8918,-81.55016379999999,41.3149732
Open Road Academy,"4000 South State Route 605, Galena, OH 43021",(614) 898-9667,-82.809006,40.16225499999999
Our Lady of Grace Catholic School,"5247 S. Arlington Road, North Canton, OH 44720",(330) 896-0735,-81.49396399999999,40.9265199
Palmer Academy,"5354 Oakwood Dr, Sheffield Village, OH 44054",(765) 618-5561,-82.069803,41.4574262
RCS Academy,"8847 St Rt 65, Ottawa, OH 45875",(419) 523-4717,-84.01223940000001,41.0505721
Rembold Stem Academy,"8041 Lonesome Road, St Paris, OH 43072",(937) 663-5635,-83.91107269999999,40.142584
School on the Rock,"105 W. Chris Street, Carey, OH 43316",(314) 853-0804,-83.3744523,40.9462808
Simple Path Academy,"6930 Parma Park Blvd., Parma, OH 44130",(440) 539-9257,-81.77628829999999,41.37538360000001
Smith Academy,"10626 Norwalk Road, Litchfield, OH 44253",(330) 391-8437,-82.0720582,41.1674955
Spring Lake Christian School,"5675 Stuckey Rd, Creston, OH 44217",(330) 435-4532,-81.8940882,40.9968686
Spring Road Christian Academy,"311 South Spring Road, Westerville, OH 43081",(614) 882-1249,-82.90363370000001,40.1164643
St. Edmund Campion Academy,"4100 Taylor Avenue, Cincinnati, OH 45209",(513) 871-0331,-84.4278278,39.1526083
St. Francis Academy,"5295 Manchester Ave. NW, North Lawrence, OH 44666",(314) 435-9210,-81.60492579999999,40.8604211
St. Francis Academy,"3089 Moser Rd, Dalton, OH 44618",(330) 317-8830,-81.7031954,40.7624164
St. Margaret Mary School,"35114 Mills Road, Avon, OH 44011",(440) 327-1884,-82.00748159999999,41.4190572
St. Michael Academy,"7137 Big Creek Parkway, Middleburg Heights, OH 44130",(440) 886-0477,-81.8057949,41.37170709999999
Sterling Education - East Columbus,"758 Corylus Dr, Pataskala, OH 43062",(740) 919-4036,-82.6599481,40.00778409999999
Temple Christian Academy,"21453 Floralwood Drive, Howard, OH 43028",(740) 397-9673,-82.35811540000002,40.4536192
Temple Christian School,"1617 Ohmer Avenue, Dayton, OH 45410",(937) 253-5288,-84.1415045,39.7499237
Titus Academy,"438 Linwood Ave, Columbus, OH 43205",(614) 531-5902,-82.9652696,39.9571137
Veritas Academy,"6200 Linworth Road, Worthington, OH 43085",(614) 885-2810,-83.04916329999999,40.09149130000001
Veritas Christian Academy,"4828 County Highway 96, Carey, OH 43316",(419) 396-6842,-83.4012424,40.9227912
Abundant Life Academy,"3773 Goshawk Landing, Columbus, OH 43230",(614) 600-8443,-82.85369349999999,40.05648550000001
ACE Baptist Academy,"6290 Rip Rap Road, Huber Heights, OH 45424",(937) 233-8992,-84.1678585,39.8493179
Bethel Baptist Christian Academy,"745 North Freedom Street, Ravenna, OH 44266",(330) 296-9845,-81.23318809999999,41.1671504
Children's Montessori Cooperative,"401 North Winter Street, Yellow Springs, OH 45387",(937) 367-2659,-83.8910112,39.809981
Cloud Christian High School,"4009 E 188th St, Cleveland, OH 44122",(216) 752-7511,-81.5475761,41.4503949
Courage Christian Academy,"5485 Red Bank Rd, Galena, OH 43021",(740) 965-3010,-82.86275049999999,40.161097
