Competition,District Name,District IRN,Building Name,Building IRN,Building Adress,School Type,long,lat
,Lakota Local,046110,Heritage Elementary School,113910,"5052 Hamilton Mason Rd Liberty Twp, OH   45011-8492",2-6,-84.4527806,39.374613
,Hudson City,050021,East Woods Elementary School,114090,"120 N Hayden Pkwy Hudson, OH   44236-3152",4-5,-81.4260097,41.2453984
,Brecksville-Broadview Heights City,043646,Central Elementary School,114561,"27 Public Sq Brecksville, OH   44141-1801",4-5,-81.62911009999999,41.3190461
,Berne Union Local,046854,Berne Union Middle School,114579,"506 N Main St Sugar Grove, OH   43155-9500",5-8,-82.5471008,39.6290951
,Parkway Local,048579,Parkway Elementary School,114652,"400 Buckeye St Rockford, OH   45882-9267","K-5,P",-84.6507527,40.6826735
,Gahanna-Jefferson City,046961,Gahanna South Middle School,114819,"349 Shady Spring Dr Gahanna, OH   43230-5300",6-8,-82.85346109999999,40.0099655
,Medina City,044388,Root Middle School,115873,"333 W Sturbridge Dr Medina, OH   44256-3891",6-8,-81.87457119999999,41.1222895
,Reynoldsburg City,047001,Taylor Road Elementary School,115881,"8200 Taylor Rd SW Reynoldsburg, OH   43068-9630",K-4,-82.7703518,39.9700004
,Edgewood City,046094,Edgewood Middle School,117382,"3440 Busenbark Rd Hamilton, OH   45011-9612",6-8,-84.4880481,39.4753869
,Olentangy Local,046763,Wyandot Run Elementary School,117770,"2800 Carriage Rd Powell, OH   43065-8502","K-5,P",-83.08185379999999,40.1824618
,Osnaburg Local,049916,East Canton Middle School,117879,"310 Browning Ct N East Canton, OH   44730-1248",4-8,-81.27825109999999,40.78929300000001
,Hilliard City,047019,Norwich Elementary School,118042,"4454 Davidson Rd Hilliard, OH   43026-9647",K-5,-83.13801169999999,40.0515088
,Hilliard City,047019,Hilliard Crossing Elementary School,118059,"3340 Hilliard Rome Rd Hilliard, OH   43026-8114",K-5,-83.1562735,40.01972600000001
,Southern Local,049064,Millcreek Elementary School,118141,"10397 State Route 155 SE Corning, OH   43730-9710",K-6,-82.14251999999999,39.5909832
,Canal Winchester Local,046946,Canal Winchester Middle School,118158,"100 Washington St Canal Winchester, OH   43110-1224",6-8,-82.8097344,39.8405149
,Worthington City,045138,Kilbourne Middle School,118257,"50 E Dublin Granville Rd Worthington, OH   43085-3101",7-8,-83.0163314,40.0892684
,Crooksville Exempted Village,045351,Crooksville K-8 Elementary School,118331,"12400 Tunnel Hill Rd Crooksville, OH   43731-9558",K-5,-82.0965654,39.7451627
,Cuyahoga Heights Local,046557,Cuyahoga Hts Middle School,118414,"4840 E 71st St Cuyahoga Heights, OH   44125-1043",6-8,-81.6427279,41.42724339999999
,East Holmes Local,047688,Sharp Run Elementary School,118620,"PO Box 159 Charm, OH   44617-0159",1-8,-81.784641,40.5065682
,Loveland City,044271,Loveland Elementary School,118828,"600 Loveland Madeira Rd Loveland, OH   45140-2703",3-4,-84.2703525,39.2636751
,Hilliard City,047019,Hilliard Weaver Middle School,119438,"4600 Avery Rd Hilliard, OH   43026-9718",7-8,-83.1561925,40.0459444
,Lakota Local,046110,Cherokee Elementary School,119768,"5345 Kyles Station Rd Liberty Twp, OH   45011-8400",2-6,-84.43857969999999,39.4165471
,Lakota Local,046110,Independence Elementary School,119776,"7480 Princeton Rd Liberty Township, OH   45044-9619",2-6,-84.37278309999999,39.3942385
,Springfield Local,048223,Holloway Elementary School,119792,"6611 Pilliod Rd Holland, OH   43528-9580",K-5,-83.69981949999999,41.60179249999999
,Dublin City,047027,Willard Grizzell Middle School,120212,"8705 Avery Rd Dublin, OH   43017-9511",6-8,-83.16582129999999,40.1436758
,Northwest Local,049635,Northwest Middle School,120261,"692 Mohawk Dr Mc Dermott, OH   45652-9000",6-8,-83.088557,38.880329
,Northwest Local,049635,Northwest Elementary School,120279,"4738 Henley Deemer Rd Mc Dermott, OH   45652-9050",K-5,-83.08239999999999,38.877
,Western Brown Local,046060,Mt  Orab Middle School,120337,"472 W Main St Mount Orab, OH   45154-9452",5-8,-83.9363,39.0320442
,Gahanna-Jefferson City,046961,Blacklick Elementary School,120360,"6540 Havens Corners Rd Blacklick, OH   43004-8415",K-5,-82.8196227,40.0195327
,Dublin City,047027,Dublin Scioto High School,120485,"4000 Hard Rd Dublin, OH   43016-8349",9-12,-83.09897699999999,40.122344
,Ripley-Union-Lewis-Huntington Local,046078,Ripley Union Lewis Huntington Elementary School,121434,"502 S 2nd St Ripley, OH   45167-1306",K-4,-83.83893309999999,38.7372513
,South-Western City,044800,Buckeye Woods Elementary School,121525,"2525 Holton Rd Grove City, OH   43123-8985",K-4,-83.0668423,39.8545433
,South-Western City,044800,Darby Woods Elementary School,121533,"255 Westwoods Blvd Galloway, OH   43119-8548",K-4,-83.1478972,39.9462603
,Heath City,044115,Stevenson Elementary School,121954,"152 Cynthia St Heath, OH   43056-1274",3-5,-82.44897859999999,40.0375581
,Liberty-Benton Local,047449,Liberty-Benton Middle School,122028,"9190 County Road 9 Findlay, OH   45840-8811",6-8,-83.7001516,41.0340528
,Amanda-Clearcreek Local,046847,Amanda-Clearcreek Middle School,122069,"328 E Main St Amanda, OH   43102-9330",6-8,-82.7348828,39.6496392
,Bettsville Local,049692,Bettsville Middle School,122077,"PO Box 6 Bettsville, OH   44815-0006",5-8,-83.235879,41.2440286
,Delaware City,043877,Robert F Schultz Elementary School,122093,"499 Applegate Ln Delaware, OH   43015-4228",K-4,-83.094766,40.2967429
,Brooklyn City,043653,Brooklyn Middle School,122143,"9200 Biddulph Rd Brooklyn, OH   44144-2614",6-8,-81.74973229999999,41.4307561
,Dublin City,047027,Mary Emma Bailey Elementary School,122507,"4900 Brandonway Dr Dublin, OH   43017-8418","K-5,P",-83.1215884,40.1238535
,Mariemont City,044313,Mariemont Junior High School,122622,"6743 Chestnut St Cincinnati, OH   45227-3600",7-8,-84.38042279999999,39.146143
,Hilliard City,047019,Hilliard Horizon Elementary School,122747,"6000 Renner Rd Columbus, OH   43228-9346",K-5,-83.1663238,39.983925
,Tuscarawas Valley Local,050302,Tuscarawas Valley Middle School,122887,"2633 Tusky Valley Rd NE Zoarville, OH   44656-9692","5-8,SN",-81.4042012,40.6016846
,Canton City,043711,Portage Collab Montessori Middle School,123026,"239 Portage St NW North Canton, OH   44720-2737",K-8,-81.4040916,40.8769052
,Woodridge Local,049973,Woodridge Intermediate Elementary School,123034,"1930 Bronson Ave Peninsula, OH   44264-9602","3-5,UNG",-81.5598997,41.2395055
,Olentangy Local,046763,Alum Creek Elementary School,123141,"2515 Parklawn Dr Lewis Center, OH   43035-6064",K-5,-82.9949239,40.19091239999999
,Sugarcreek Local School District,047274,Bell Creek Intermediate School,123216,"3777 Upper Bellbrook Rd Bellbrook, OH   45305-8750",3-5,-84.06825409999999,39.6493887
,Pickerington Local,046896,Tussing Elementary School,123307,"7117 Tussing Rd Reynoldsburg, OH   43068-4108",K-4,-82.8085978,39.9248914
,Green Local,050013,Green Intermediate Elementary School,123398,"PO Box 218 Green, OH   44232-0218",5-6,-81.46471729999999,40.93236950000001
,Buckeye United School District,060988,Tecumseh (Orvjcf),123422,"4696 Gallia Pike Franklin Furnace, OH   45629-8600",7-12,-82.8434894,38.6271924
,Wooster City,045120,Cornerstone Elementary School,123463,"101 W Bowman St Wooster, OH   44691-3401",K-6,-81.942093,40.8051466
,Hilliard City,047019,Hilliard Darby High School,123539,"4200 Leppert Rd Hilliard, OH   43026-8466",9-12,-83.1680836,40.0355183
,Adena Local,049494,Adena Middle School,123547,"3367 County Road 550 Frankfort, OH   45628-9503",6-8,-83.1932633,39.4157153
,Lakota Local,046110,Lakota Ridge Junior School,123828,"6199 Beckett Ridge Blvd West Chester, OH   45069-6413",7-8,-84.4164679,39.3429564
,Lakota Local,046110,Lakota East High School,123836,"6840 Lakota Ln Liberty Township, OH   45044-9578","9-12,UNG",-84.36979280000001,39.3794617
,Fairfield City,046102,Fairfield Intermediate Elementary School,124073,"255 Donald Dr Fairfield, OH   45014-3006","5-6,8-9",-84.53024649999999,39.3415256
,Fairfield City,046102,Fairfield East Elementary School,124081,"6711 Morris Rd Hamilton, OH   45011-5419",1-4,-84.4978246,39.38749869999999
,Eastern Local,046037,Russellville Elementary School,124214,"239 W Main St Russellville, OH   45168-8928",K-5,-83.792175,38.86897099999999
,Eastern Local,046037,Eastern Middle School,124222,"PO Box 25 Sardinia, OH   45171-0025",6-8,-83.8085377,39.0078448
,Gibsonburg Exempted Village,045385,Gibsonburg Middle School,124727,"740 S Main St Gibsonburg, OH   43431-9773",6-8,-83.3239294,41.3757432
,Batavia Local,046300,Batavia Middle School,124859,"800 Bauer Ave Batavia, OH   45103-2837",5-8,-84.1819968,39.06922369999999
,East Clinton Local,046409,East Clinton Junior High School,124867,"PO Box 19 Lees Creek, OH   45138-0019",6-8,-83.6496073,39.4203419
,Kings Local,050435,Columbia Elementary School,124875,"8263 Columbia Rd Kings Mills, OH   45034",5-6,-84.28562819999999,39.3175586
,Marysville Exempted Village,045476,Mill Valley Elementary School,125047,"633 Mill Wood Blvd Marysville, OH   43040-9339",K-4,-83.38553270000001,40.2600321
,Coldwater Exempted Village,045310,Coldwater Middle School,125187,"310 N 2nd St Coldwater, OH   45828-1242",5-8,-84.6295086,40.4819216
,Anthony Wayne Local,048207,Anthony Wayne Junior High School,125229,"6035 Finzel Rd Whitehouse, OH   43571-9588",7-8,-83.7795782,41.5309714
,Buckeye Valley Local,046755,Buckeye Valley Local Middle School,125245,"683 Coover Rd Delaware, OH   43015-9562",6-8,-83.0899871,40.3473388
,Hilliard City,047019,Darby Creek Elementary School,125344,"6305 Pinefield Dr Hilliard, OH   43026-7705",K-5,-83.1780471,40.0082433
,Felicity-Franklin Local,046334,Felicity-Franklin Middle School,125351,"Felicity-Franklin Middle School Felicity, OH   45120-0839",5-8,-84.096321,38.8389576
,Sylvania City,044875,Sylvania Timberstone Junior High School,125567,"9000 Sylvania Ave Sylvania, OH   43560-9578",6-8,-83.7593356,41.6887898
,New Richmond Exempted Village,045559,Locust Corner Elementary School,125765,"3431 Locust Corner Rd Cincinnati, OH   45245-3118",K-6,-84.278178,39.0275588
,Washington-Nile Local,049650,Portsmouth West Elementary School,125773,"15332A Us Highway 52 West Portsmouth, OH   45663-9093",K-5,-83.05210269999999,38.7146889
,Washington-Nile Local,049650,Portsmouth West Middle School,125781,"1420 13th St West Portsmouth, OH   45663-5898",6-8,-83.036047,38.760815
,Celina City,043729,Celina Intermediate Elementary School,125823,"227 Portland St Celina, OH   45822-2035",5-6,-84.5862454,40.5469678
,Strongsville City,044842,Kinsner Elementary School,125955,"19091 Waterford Pkwy Strongsville, OH   44149-0936",K-6,-81.8469497,41.2816129
,Mason City,050450,Mason Intermediate Elementary School,126193,"6307 S Mason Montgomery Rd Mason, OH   45040-1727",4-6,-84.3136046,39.3486775
,Avon Local,048116,Avon Middle School,126359,"3075 Stoney Ridge Rd Avon, OH   44011-1821",7-8,-82.0281124,41.4449204
,Bluffton Exempted Village,045211,Bluffton Middle School,127639,"116 S Jackson St Bluffton, OH   45817-1218",6-8,-83.89376,40.8939639
,Olentangy Local,046763,Scioto Ridge Elementary School,132225,"8715 Big Bear Ave Powell, OH   43065-7754",K-5,-83.0838533,40.16268
,Olentangy Local,046763,Arrowhead Elementary School,132233,"2385 Hollenback Rd Lewis Center, OH   43035-9043",K-5,-83.001741,40.2182387
,Union Local,046011,Union Local Middle School,132258,"66859 Belmont Morristown Rd Belmont, OH   43718-9569",6-8,-81.05321289999999,40.0642273
,Union Local,046011,Union Local Elementary School,132266,"66699 Belmont Morristown Rd Belmont, OH   43718-9568",K-5,-81.051315,40.06423909999999
,Summit Academy-Middletown,132746,Summit Academy-Middletown,132746,"7 S Marshall Rd Middletown, OH   45044-5375","1-9,UNG",-84.3446136,39.511273
,Summit Academy-Xenia,132761,Summit Academy-Xenia,132761,"870 S Detroit St Xenia, OH   45385-5510","1-9,UNG",-83.9316463,39.67331799999999
,Summit Academy Middle School-Akron,132779,Summit Academy Middle School-Akron,132779,"88 Kent St Akron, OH   44305-2544","6-9,UNG",-81.4879292,41.0728957
,Springfield Acad Of Excellence,132787,Springfield Acad Of Excellence,132787,"623 S Center St Springfield, OH   45506-2209",K-6,-83.8133927,39.9168181
,Life Skills Center-Springfield,132795,Life Skills Center-Springfield,132795,"1637 Selma Rd Springfield, OH   45505-4245",9-12,-83.7917362,39.9041331
,Life Skills Center-Middletown,132803,Life Skills Center-Middletown,132803,"631 S Breiel Blvd Middletown, OH   45042-3801",9-12,-84.3534244,39.5044398
,Miami Valley Academies,132944,Miami Valley Academies,132944,"5656 Springboro Pike Dayton, OH   45449-2806",K-12,-84.21999199999999,39.676635
,Constellation Schools:  Lorain Community Elementary,132951,Constellation Schools:  Lorain Community Elementary,132951,"201 W Erie Ave Lorain, OH   44052-1641",K-9,-82.1787849,41.4677861
,Constellation Schools:  Elyria Community Elementary,132969,Constellation Schools:  Elyria Community Elementary,132969,"300 N Abbe Rd Elyria, OH   44035-3715",K-9,-82.0781318,41.3818689
,Youthbuild Columbus Community,132985,Youthbuild Columbus Community,132985,"1183 Essex Ave Columbus, OH   43201-2925","9-12,UNG",-82.98841639999999,39.9885761
,Constellation Schools:  Westpark Community Elementary,132993,Constellation Schools:  Westpark Community Elementary,132993,"16210 Lorain Ave Cleveland, OH   44111-5521",K-4,-81.8121372,41.4515782
,"Intergenerational School, The",133215,"Intergenerational School, The",133215,"12200 Fairhill Rd Cleveland, OH   44120-1058",K-8,-81.5970482,41.4918489
,Lighthouse Comm & Prof Dev,133223,Lighthouse Comm & Prof Dev,133223,"1585 Frederick Blvd Ste 100 Akron, OH   44320-4053",K-5,-81.570197,41.0664465
,Constellation Schools:  Parma Community,133256,Constellation Schools:  Parma Community,133256,"7667 Day Dr Fl 1ST Parma, OH   44129-5603",K-12,-81.73760949999999,41.3788873
,Dohn Community,133264,Dohn Community,133264,"608 E Mcmillan St Cincinnati, OH   45206-1926",9-12,-84.4979302,39.1266812
,Washington Park Community,133280,Washington Park Community,133280,"4000 Washington Park Blvd Newburgh Heights, OH   44105-3248",K-8,-81.6586949,41.4492257
,Summit Academy-Canton,133306,Summit Academy-Canton,133306,"1620 Market Ave S Canton, OH   44707-3778","K,1-9,UNG",-81.38329039999999,40.7810426
,Summit Acdy Community School for Alte Learners of Youngstown,133314,Summit Acdy Community School for Alte Learners of Youngstown,133314,"144 N Schenley Ave Youngstown, OH   44509-2041","K,1-8,UNG",-80.7009095,41.1058595
,Summit Academy-Lorain,133322,Summit Academy-Lorain,133322,"2140 E 36th St Lorain, OH   44055-2756","K,1-8,UNG",-82.1204461,41.436453
,T.C.P. World Academy,133330,T.C.P. World Academy,133330,"6000 Ridge Ave Cincinnati, OH   45213-1624",K-6,-84.4269908,39.1809304
,Quest Academy Community,133363,Quest Academy Community,133363,"190 E 8th St Lima, OH   45804-2302",K-7,-84.1036443,40.7114643
,Lighthouse Community Sch Inc,133389,Lighthouse Community Sch Inc,133389,"6100 Desmond St Cincinnati, OH   45227-1897",6-12,-84.39039559999999,39.162731
,Montessori Renaissance Experience,133397,Montessori Renaissance Experience,133397,"PO Box 24249 Columbus, OH   43224-0249",K-6,-82.9609096,40.0441439
,W.E.B. Dubois,133405,W.E.B. Dubois,133405,"1812 Central Pkwy Cincinnati, OH   45214-2304",4-8,-84.52216220000001,39.117327
,Electronic Classroom Of Tomorrow,133413,Electronic Classroom Of Tomorrow,133413,"3700 S High St Ste 95 Columbus, OH   43207-4083",K-12,-82.997023,39.8855327
,"Graham School, The",133421,"Graham School, The",133421,"3950 Indianola Ave Columbus, OH   43214-3158",9-12,-82.9992657,40.044997
,Cornerstone Academy Community,133439,Cornerstone Academy Community,133439,"6025 E Walnut St Westerville, OH   43081-9620",K-12,-82.8263298,40.1126269
,Alliance Academy of Toledo,133447,Alliance Academy of Toledo,133447,"1501 Monroe St Ste 2ND Toledo, OH   43604-1760",K-12,-83.5473895,41.6530502
,Dayton View Academy,133454,Dayton View Academy,133454,"1416 W Riverview Ave Dayton, OH   45402-6217",K-8,-84.2183981,39.7615391
,Life Skills Of Trumbull County,133488,Life Skills Of Trumbull County,133488,"458 Franklin St SE Warren, OH   44483-5715",9-12,-80.8127258,41.2347021
,Phoenix Community Learning Ctr,133504,Phoenix Community Learning Ctr,133504,"7030 Reading Rd Ste 350 Cincinnati, OH   45237-3839",K-8,-84.46307449999999,39.1879025
,Cincinnati College Preparatory Academy,133512,Cincinnati College Preparatory Academy,133512,"1425 Linn St Cincinnati, OH   45214-2605",K-12,-84.5283626,39.1109566
,Citizens Academy,133520,Citizens Academy,133520,"1827 Ansel Rd Cleveland, OH   44106-4107",K-8,-81.61770489999999,41.5092525
,"Edge Academy, The",133538,"Edge Academy, The",133538,"92 N Union St Akron, OH   44304-1347",K-8,-81.5068105,41.0837572
,Millennium Community,133561,Millennium Community,133561,"3500 Refugee Rd Columbus, OH   43232-4862",K-8,-82.9065344,39.9207063
,Summit Academy Community School for Alt Learners of Akron,133587,Summit Academy Community School for Alt Learners of Akron,133587,"88 Kent St Akron, OH   44305-2544","K,1-8,UNG",-81.4879292,41.0728957
,Dayton City,043844,World of Wonder PreK-8 School,133603,"2826 Campus Dr Dayton, OH   45406-4102","P,K-8",-84.236019,39.77687299999999
,Horizon Science Acad Cleveland,133629,Horizon Science Acad Cleveland,133629,"6000 S Marginal Rd Cleveland, OH   44103-1042",6-12,-81.6486503,41.5309122
,Horizon Science Academy Columbus,133660,Horizon Science Academy Columbus,133660,"1070 Morse Rd Columbus, OH   43229-6290",9-12,-82.9910579,40.0621545
,Riverside Academy,133678,Riverside Academy,133678,"3280 River Rd Cincinnati, OH   45204-1214",K-12,-84.57803229999999,39.0863129
,Richard Allen Academy,133736,Richard Allen Academy,133736,"700 Heck Ave Dayton, OH   45408-2641",1-8,-84.2066313,39.7370518
,The ISUS Institute of Construction Technology,133744,The ISUS Institute of Construction Technology,133744,"140 N Keowee St Dayton, OH   45402-1309","9-12,UNG",-84.1753296,39.7661678
,New Choices Community School,133769,New Choices Community School,133769,"601 S Keowee St Dayton, OH   45410-1168",7-12,-84.1767304,39.7531601
,Life Skills Ctr Of Cincinnati,133785,Life Skills Ctr Of Cincinnati,133785,"2612 Gilbert Ave Cincinnati, OH   45206-1205",9-12,-84.48870989999999,39.1279024
,Life Skills Ctr Of Youngstown,133801,Life Skills Ctr Of Youngstown,133801,"3405 Market St Youngstown, OH   44507-2009",9-12,-80.6610495,41.06485079999999
,Hope Academy Lincoln Park,133819,Hope Academy Lincoln Park,133819,"2421 W 11th St Cleveland, OH   44113-4401",K-8,-81.68880089999999,41.4791766
,Life Skills Ctr Of Cleveland,133835,Life Skills Ctr Of Cleveland,133835,"4600 Carnegie Ave Cleveland, OH   44103-4371",9-12,-81.65447759999999,41.5009825
,Hope Academy Canton Campus,133850,Hope Academy Canton Campus,133850,"1379 Garfield Ave SW Canton, OH   44706-5200",K-8,-81.3936456,40.7853998
,Life Skills Center Of Akron,133868,Life Skills Center Of Akron,133868,"80 W Bowery St Akron, OH   44308-1137",9-12,-81.5217684,41.0810211
,Academy Of Dayton,133918,Academy Of Dayton,133918,"4095 Little Richmond Rd Trotwood, OH   45427-3310","K,1-8,SN",-84.254919,39.7765902
,Toledo School For The Arts,133942,Toledo School For The Arts,133942,"333 14th St Toledo, OH   43604-5459",6-12,-83.54341289999999,41.65653510000001
,"Dayton Academy, The",133959,"Dayton Academy, The",133959,"4401 Dayton Liberty Rd Dayton, OH   45418-1903",K-8,-84.2607615,39.7337067
,George Washington Carver Preparatory Academy,133967,George Washington Carver Preparatory Academy,133967,"2283 Sunbury Rd Columbus, OH   43219-3528",K-8,-82.9352823,40.0168229
,Toledo Academy Of Learning,133975,Toledo Academy Of Learning,133975,"3001 Hill Ave Toledo, OH   43607-2932",K-12,-83.6136404,41.6371796
,Youngstown Community School,134072,Youngstown Community School,134072,"50 Essex St Youngstown, OH   44502-1838",K-6,-80.65783569999999,41.0902641
,Eagle Heights Academy,134080,Eagle Heights Academy,134080,"1833 Market St Youngstown, OH   44507-1137",K-8,-80.65584179999999,41.0815958
,Constellation Schools:  Old Brooklyn Community Elementary,134098,Constellation Schools:  Old Brooklyn Community Elementary,134098,"4430 State Rd Cleveland, OH   44109-4705",K-4,-81.7078016,41.4339519
,M.O.D.E.L. Community School,134122,M.O.D.E.L. Community School,134122,"1615 Holland Rd Maumee, OH   43537-1622",K-12,-83.6742739,41.5871411
,Aurora Academy,134148,Aurora Academy,134148,"541 Utah St Toledo, OH   43605-2299",K-12,-83.52662649999999,41.6401478
,Meadows Choice Community,134171,Meadows Choice Community,134171,"1853 South Ave Toledo, OH   43609-2054",K-9,-83.5887353,41.63009539999999
,Hope Academy Broadway Campus,134189,Hope Academy Broadway Campus,134189,"3398 E 55th St Cleveland, OH   44127-1691",K-8,-81.6522583,41.4656131
,Hope Academy Chapelside Campus,134197,Hope Academy Chapelside Campus,134197,"3845 E 131st St Cleveland, OH   44120-4661",K-8,-81.5905997,41.4540369
,Hope Academy Cathedral Campus,134205,Hope Academy Cathedral Campus,134205,"10615 Lamontier Ave Cleveland, OH   44104-4847",K-8,-81.6111266,41.4783443
,Hope Academy University,134213,Hope Academy University,134213,"107 S Arlington St Akron, OH   44306-1328",K-8,-81.4899496,41.0691804
,Hope Academy Brown St Campus,134221,Hope Academy Brown St Campus,134221,"1035 Clay St Akron, OH   44301-1517",K-8,-81.5106904,41.0535048
,City Day Community School,134247,City Day Community School,134247,"318 S Main St Dayton, OH   45402-2716",K-8,-84.1898968,39.7547897
,Academy Of Business & Tech,134262,Academy Of Business & Tech,134262,"2436 Parkwood Ave Toledo, OH   43620-1134","K,1-8,SN",-83.557039,41.6691204
,East End Comm Heritage School,134288,East End Comm Heritage School,134288,"2569 Saint Leo Pl Cincinnati, OH   45225-1960",K-12,-84.5577205,39.1339399
,Clear Fork Valley Local,049411,Clear Fork Middle School,134692,"987 State Route 97 E Bellville, OH   44813-1229",6-8,-82.474768,40.6102028
,Eastern Local,048512,Eastern Elementary School,135046,"38850 State Route 7 Reedsville, OH   45772-9724",K-8,-81.8836371,39.1211945
,Wooster City,045120,Opportunity,135236,"629 N Grant St Wooster, OH   44691-2822",7-11,-81.94370909999999,40.8052947
,Oak Hills Local,047373,Rapid Run Middle School,135269,"6345 Rapid Run Rd Cincinnati, OH   45233-4555",6-8,-84.6606305,39.1112311
,Dublin City,047027,Henry Karrer Middle School,135301,"7245 Tullymore Dr Dublin, OH   43016-8401",6-8,-83.1660725,40.1162138
,Westerville City,045047,Genoa Middle School,135327,"5948 S Old 3c Hwy Westerville, OH   43082-9251",6-8,-82.9105165,40.1678017
,Hillsboro City,044123,Hillsboro Middle School,135517,"550 US Route 62 Hillsboro, OH   45133-1619",6-8,-83.61372349999999,39.1839447
,Mansfield City,044297,Alternative High School,135566,"150 W 5th St Mansfield, OH   44902-7610",7-12,-82.52113899999999,40.7635368
,Forest Hills Local,047340,Nagel Middle School,135830,"1500 Nagel Rd Cincinnati, OH   45255-2544",7-8,-84.3287313,39.0792817
,Coventry Local,049999,Coventry Junior High School,136010,"3257 Cormany Rd Akron, OH   44319-1425",8-9,-81.54929899999999,41.0103107
,Twinsburg City,050070,Twinsburg High School,136101,"10084 Ravenna Rd Twinsburg, OH   44087-1719",9-12,-81.45081569999999,41.3166336
,Miamisburg City,044396,Medlar View Elementary School,136598,"4400 Medlar Rd Miamisburg, OH   45342-4335",K-5,-84.2552973,39.6050715
,Southeast Local,049221,Southeast Intermediate Elementary School,136788,"8301 Tallmadge Rd Ravenna, OH   44266-9231",3-5,-81.092094,41.101393
,Southeast Local,049221,Southeast Elementary Campus School,137059,"8301 Tallmadge Rd Ravenna, OH   44266-9231",K-5,-81.092094,41.101393
,Huntington Local,049502,Huntington Middle School,137265,"188 Huntsman Rd Chillicothe, OH   45601-9378",6-8,-83.0574444,39.2444847
,Kent City,044164,Stanton Middle School,137273,"1175 Hudson Rd Kent, OH   44240-2109",6-8,-81.3628272,41.16868240000001
,Van Buren Local,047464,Van Buren Middle School,137455,"217 S Main St Van Buren, OH   45889-9720",6-8,-83.647311,41.135959
,Piqua City,044644,Piqua Junior High School,137463,"1 Tomahawk Trl Piqua, OH   45356-8242",7-8,-84.2044305,40.1636806
,Lowellville Local,048330,North Side Elementary School,138040,"52 Rocket Place Lowellville, OH   44436",K-6,-80.55322009999999,41.0450064
,Delaware City,043877,John C Dempsey Middle School,138065,"599 Pennsylvania Ave Delaware, OH   43015-1522",7-8,-83.08814249999999,40.31246549999999
,Columbus City,043802,Welcome Center @ Mifflin M.S.,138081,"2543 Sunbury Rd Columbus, OH   43219-3433",6-8,-82.9343217,40.02300169999999
,Columbus City,043802,Welcome Center High,138099,"2001 Hamilton Ave Columbus, OH   43211-2115",9-11,-82.9808164,40.0063496
,Columbus City,043802,Eastmoor Academy,138198,"417 S Weyant Ave Columbus, OH   43213-2279",9-12,-82.9083,39.9638608
,Mogadore Local,050039,Mogadore Junior High School,138347,"130 S Cleveland Ave Mogadore, OH   44260-1443",7-8,-81.39476909999999,41.04781759999999
,Ridgewood Local,046474,Ridgewood Middle School,138552,"517 S Oak St West Lafayette, OH   43845-1350",4-7,-81.7542612,40.2707781
,Springboro Community City,050427,Springboro Intermediate School,138602,"705 S Main St Springboro, OH   45066-1581",6,-84.23454799999999,39.5491522
,South-Western City,044800,Franklin Woods Intermediate School,138727,"1831 Finland Ave Columbus, OH   43223-3719",5-6,-83.0444792,39.9215672
,South-Western City,044800,Holt Crossing Intermediate School,138735,"2706 Holt Rd Grove City, OH   43123-9688",5-6,-83.118039,39.89700879999999
,South-Western City,044800,Galloway Ridge Intermediate School,138743,"122 Galloway Rd Galloway, OH   43119-9248",5-6,-83.15166669999999,39.953912
,South-Western City,044800,Park Street Intermediate School,138750,"3191 Park St Grove City, OH   43123-3225",5-6,-83.0883939,39.879128
,Little Miami Local,050443,Little Miami Intermediate Middle School,138859,"7247 Zoar Rd Maineville, OH   45039-8098",5-6,-84.18816939999999,39.3265941
,Pickerington Local,046896,Harmon Middle School,138958,"12410 Harmon Rd Pickerington, OH   43147-9216",5-6,-82.763897,39.9150073
,Pickerington Local,046896,Diley Middle School,138966,"750 Preston Trails Dr Pickerington, OH   43147-2056",5-6,-82.77474099999999,39.8794765
,Southeastern Local,046276,Miami View Middle School,139022,"230 Clifton Rd South Charleston, OH   45368-9602",5-8,-83.6410465,39.82747210000001
,Northeastern Local,046722,Tinora Elementary School,139204,"5751 Domersville Rd Defiance, OH   43512-9121",2-6,-84.32142499999999,41.360538
,Lynchburg-Clay Local,047639,Lynchburg-Clay Elementary School,139212,"6760 State Route 134 Lynchburg, OH   45142-9154","K-5,P",-83.8132462,39.1933505
,Lynchburg-Clay Local,047639,Lynchburg-Clay Middle School,139220,"8250 State Route 134 Lynchburg, OH   45142-9110",6-8,-83.79068939999999,39.2342039
,Wadsworth City,044974,Central Intermediate School,139287,"151 Main St Wadsworth, OH   44281-1433",5-6,-81.72855109999999,41.0237186
,Monroe Local,139303,Monroe High School,139311,"220 Yankee Rd Monroe, OH   45050-1042",9-12,-84.3887249,39.4489559
,Monroe Local,139303,Monroe Junior High School,139329,"210 Yankee Rd Monroe, OH   45050-1042",7-8,-84.38869849999999,39.4487312
,Monroe Local,139303,Monroe Elementary School,139337,"230 Yankee Rd Monroe, OH   45050-1042",3-6,-84.3826639,39.44991419999999
,Olentangy Local,046763,Oak Creek Elementary School,139360,"1256 Westwood Dr Lewis Center, OH   43035-6077",K-5,-83.00407539999999,40.1651317
,Bright Local,047613,Bright Elementary School,139477,"6100 Fair Ridge Rd Hillsboro, OH   45133-6616","K-6,P",-83.65786670000001,39.0685011
